Päivämäärä;Ylin;Alin;Päätöskurssi;Keskimäärin;Muutos %;Vaihto kpl;Vaihto €
25.10.2019;8,83;8,7;8,8;8,77588884;1,033295063;29159;255894,47
24.10.2019;8,85;8,57;8,71;8,74147434;1,990632319;75775;662381,46
23.10.2019;8,55;8,49;8,54;8,52966779;0,117233294;119797;1021859,54
22.10.2019;8,55;8,52;8,53;8,54692365;-0,233918129;16110;137690,94
21.10.2019;8,55;8,5;8,55;8,54164662;0;17709;151264,02
18.10.2019;8,56;8,49;8,55;8,52715287;0,234466589;8844;75414,14
17.10.2019;8,59;8,46;8,53;8,49944623;0,589622642;68278;580325,19
16.10.2019;8,48;8,43;8,48;8,45825666;0;9803;82916,29
15.10.2019;8,48;8,44;8,48;8,4658925;0,355029586;9098;77022,69
14.10.2019;8,48;8,4;8,45;8,44427986;0;20503;173133,07
11.10.2019;8,48;8,42;8,45;8,46209323;-0,353773585;40898;346080,86
10.10.2019;8,48;8,38;8,48;8,45064615;0,952380952;48915;413291,6
9.10.2019;8,4;8,25;8,4;8,35484453;1,694915254;35212;294220,76
8.10.2019;8,27;8,2;8,26;8,2360951;0,609013398;15469;127400,56
7.10.2019;8,24;8,18;8,21;8,20719846;-0,121654501;29040;238335,22
4.10.2019;8,25;8,17;8,22;8,20253383;-0,121506683;114409;938690,31
3.10.2019;8,33;8,22;8,23;8,27743743;-1,200480192;19600;162238,27
2.10.2019;8,43;8,31;8,33;8,35090381;-1,18623962;35105;293160,15
1.10.2019;8,44;8,37;8,43;8,40899831;0,118764846;10622;89320,38
30.9.2019;8,45;8,35;8,42;8,40063396;0,717703349;14307;120187,87
27.9.2019;8,45;8,36;8,36;8,42244904;-0,476190476;17366;146264,25
26.9.2019;8,44;8,31;8,4;8,40174229;-0,118906064;10050;84437,51
25.9.2019;8,45;8,29;8,41;8,35960164;-0,118764846;40619;339619,72
24.9.2019;8,45;8,33;8,42;8,40978195;0;31002;260720,06
23.9.2019;8,48;8,37;8,42;8,4424279;-0,70754717;20977;177096,81
20.9.2019;8,48;8,41;8,48;8,47087066;0,473933649;43929;372097,12
19.9.2019;8,44;8,32;8,44;8,37622805;1,564380265;22107;185173,3
18.9.2019;8,37;8,31;8,31;8,338434;-0,479041916;13410;111818,4
17.9.2019;8,43;8,34;8,35;8,3853938;-1,183431953;15655;131273,34
16.9.2019;8,5;8,43;8,45;8,45806328;-0,705052879;9413;79613,75
13.9.2019;8,52;8,42;8,51;8,48806249;0,23557126;78704;668044,47
12.9.2019;8,49;8,37;8,49;8,45647647;1,676646707;17510;148074,03
11.9.2019;8,49;8,23;8,35;8,32710395;-0,831353919;30109;250713,99
10.9.2019;8,48;8,4;8,42;8,44010657;0,357568534;13981;118001,13
9.9.2019;8,39;8,24;8,39;8,33253317;2,068126521;17034;141936,37
6.9.2019;8,29;8,21;8,22;8,25774488;-0,121506683;12159;100405,92
5.9.2019;8,29;8,2;8,23;8,24838281;0,365853659;13103;108078,56
4.9.2019;8,23;8,18;8,2;8,19646174;0,490196078;15136;124064,84
3.9.2019;8,23;8,16;8,16;8,18357881;-0,244498778;12269;100404,71
2.9.2019;8,3;8,17;8,18;8,21707696;-0,848484848;24393;200438,7
30.8.2019;8,31;8,24;8,25;8,26893303;-0,482509047;20127;166433,1
29.8.2019;8,33;8,25;8,29;8,28319033;0;11002;91131,66
28.8.2019;8,39;8,27;8,29;8,31562298;-2,009456265;9294;77285,4
27.8.2019;8,46;8,21;8,46;8,34597893;2,919708029;26667;222562,22
26.8.2019;8,3;8,22;8,22;8,26105656;-1,083032491;15324;126590,56
23.8.2019;8,42;8,31;8,31;8,35871547;-0,953516091;9859;82412,33
22.8.2019;8,48;8,34;8,39;8,37896575;0,119331742;21136;177097,82
21.8.2019;8,45;8,37;8,38;8,40394777;-0,238095238;11257;94603,24
20.8.2019;8,49;8,38;8,4;8,41714733;-1,176470588;10860;91410,22
19.8.2019;8,58;8,4;8,5;8,49838719;0,11778563;25533;216989,32
16.8.2019;8,49;8,32;8,49;8,41588741;1,920768307;14086;118546,19
15.8.2019;8,43;8,28;8,33;8,34532709;-1,652892562;29029;242256,5
14.8.2019;8,69;8,43;8,47;8,47897793;-1,853997683;12054;102205,6
13.8.2019;8,67;8,5;8,63;8,56967437;1,648998822;11209;96057,48
12.8.2019;8,66;8,43;8,49;8,50958133;-1,048951049;20967;178397,2
9.8.2019;8,64;8,51;8,58;8,59190843;-0,23255814;17386;149378,92
8.8.2019;8,62;8,45;8,6;8,52075017;0,938967136;17196;146522,82
7.8.2019;8,71;8,51;8,52;8,60058902;-0,583430572;15670;134771,23
6.8.2019;8,63;8,41;8,57;8,58094446;-1,607347876;12928;110934,45
5.8.2019;8,73;8,44;8,71;8,61810299;2,110199297;35452;305529,73
2.8.2019;8,59;8,45;8,53;8,50480906;-1,841196778;15502;131841,55
1.8.2019;8,7;8,5;8,69;8,59025272;1,637426901;22396;192387,3
31.7.2019;8,64;8,5;8,55;8,55961015;0;18212;155887,62
30.7.2019;8,61;8,48;8,55;8,53573972;-0,812064965;22752;194205,15
29.7.2019;8,62;8,52;8,62;8,59619902;0,700934579;14762;126897,09
26.7.2019;8,61;8,54;8,56;8,57017939;-0,116686114;10647;91246,7
25.7.2019;8,72;8,51;8,57;8,60559916;0,705052879;13836;119067,07
24.7.2019;8,53;8,42;8,51;8,48408852;0,117647059;18591;157725,04
23.7.2019;8,56;8,46;8,5;8,49924265;-0,234741784;19533;166022,77
22.7.2019;8,65;8,48;8,52;8,54945119;-1,160092807;13725;117335,46
19.7.2019;8,63;8,48;8,62;8,56272682;0,466200466;19196;164366,97
18.7.2019;8,84;8,55;8,58;8,68861757;-2,941176471;19135;166138,57
17.7.2019;8,91;8,76;8,84;8,83254397;-0,785634119;17626;155682,42
16.7.2019;9,02;8,89;8,91;8,92534394;-1,328903654;9930;88628,66
15.7.2019;9,07;8,86;9,03;9,01151799;0,221975583;24335;219278,9
12.7.2019;9,01;8,91;9,01;8,9771108;0,895856663;20902;187639,57
11.7.2019;8,97;8,86;8,93;8,91508773;0,337078652;17497;155987,29
10.7.2019;8,92;8,86;8,9;8,89901602;0,112485939;25777;229389,96
9.7.2019;8,89;8,71;8,89;8,8349769;0,793650794;19465;171979,83
8.7.2019;8,82;8,73;8,82;8,77924266;1,030927835;21631;189773,51
5.7.2019;8,83;8,7;8,73;8,77104804;-1,132502831;9055;79421,84
4.7.2019;8,86;8,59;8,83;8,7134028;1,494252874;28566;248887,39
3.7.2019;8,7;8,56;8,7;8,65869663;0,230414747;12523;108433,22
2.7.2019;8,69;8,57;8,68;8,6331036;0,579374276;21321;183668
1.7.2019;8,7;8,56;8,63;8,66510337;0;36512;316752,67
28.6.2019;8,7;8,63;8,63;8,65722351;-0,461361015;15749;136354,41
27.6.2019;8,7;8,53;8,67;8,66339261;-0,344827586;16589;143717,02
26.6.2019;8,7;8,47;8,7;8,5864159;1,398601399;74641;640817,17
25.6.2019;8,65;8,52;8,58;8,5682418;-1,379310345;30775;265835,3
24.6.2019;8,78;8,6;8,7;8,68483351;1,398601399;26879;233439,64
20.6.2019;8,84;8,43;8,58;8,56834264;1,658767773;95972;822320,98
19.6.2019;8,49;8,28;8,44;8,36727851;0,956937799;91767;765434,15
18.6.2019;8,37;8,25;8,36;8,3076727;0,119760479;27556;228946,37
