Päivämäärä;Ylin;Alin;Päätöskurssi;Keskimäärin;Muutos %;Vaihto kpl;Vaihto €
25.10.2019;6,821;6,55;6,755;6,72423946;2,209108791;3522570;23688027,39
24.10.2019;6,715;6,2;6,609;6,50782225;0,440729483;14072083;91575095,54
23.10.2019;6,697;6,471;6,58;6,56296321;-1,688331092;3330182;21858493,81
22.10.2019;6,695;6,603;6,693;6,65582033;0,950226244;5264967;35047961,23
21.10.2019;6,648;6,505;6,63;6,59827481;2;2364735;15603153,11
18.10.2019;6,539;6,465;6,5;6,5040035;-0,061500615;1036794;6745228,32
17.10.2019;6,586;6,473;6,504;6,53007107;0,030759766;2746082;17931907,34
16.10.2019;6,51;6,438;6,502;6,48368808;0,416988417;1674783;10858798,34
15.10.2019;6,497;6,415;6,475;6,45594186;0,888127142;2276461;14695330,25
14.10.2019;6,441;6,291;6,418;6,36063921;-0,926211794;2308867;14685321,88
11.10.2019;6,485;6,29;6,478;6,41122855;2,972500397;2947934;18899420,79
10.10.2019;6,299;6,145;6,291;6,24001489;2,693437806;2092095;13054442,76
9.10.2019;6,195;6,104;6,126;6,14823557;-0,357839948;1709267;10508956,54
8.10.2019;6,232;6,096;6,148;6,14842026;-0,678513732;1502329;9236788,77
7.10.2019;6,19;6,087;6,19;6,15228666;0,880052151;4411258;27104402,01
4.10.2019;6,206;6,111;6,136;6,149943;-0,518806744;1999674;12297918,88
3.10.2019;6,3;6,118;6,168;6,18743557;-2,219403932;4457283;27578895,98
2.10.2019;6,443;6,286;6,308;6,32722642;-1,988812927;4844528;30681928,56
1.10.2019;6,56;6,426;6,436;6,50641215;-1,015072285;2821834;18364237,38
30.9.2019;6,502;6,408;6,502;6,47118957;1,293036298;4924750;31860793,73
27.9.2019;6,488;6,389;6,419;6,43507814;-0,171073095;2207693;14206626,33
26.9.2019;6,437;6,348;6,43;6,39947322;0,327664222;2067783;13232713,16
25.9.2019;6,409;6,31;6,409;6,3599606;0,501803356;1570920;9990884,62
24.9.2019;6,459;6,359;6,377;6,39027652;-0,390502968;1730600;11059004,83
23.9.2019;6,524;6,306;6,402;6,39081408;-2,02020202;2600368;16618160,94
20.9.2019;6,54;6,471;6,534;6,51852657;0,802221537;8142383;53074036,69
19.9.2019;6,522;6,389;6,482;6,49197546;1,060180854;4524268;29372990,51
18.9.2019;6,498;6,414;6,414;6,44029629;-0,480993018;1884836;12138895,39
17.9.2019;6,598;6,34;6,445;6,4562232;-2,716981132;7642525;49330852,22
16.9.2019;6,66;6,529;6,625;6,59064555;-0,704436451;8131368;53532008,19
13.9.2019;6,689;6,548;6,672;6,64513757;1,815962155;3783003;25131092,79
12.9.2019;6,594;6,451;6,553;6,5296816;1,189005559;8632589;56372018,25
11.9.2019;6,565;6,416;6,476;6,50299456;-0,046303442;5866085;38147564,56
10.9.2019;6,519;6,251;6,479;6,42643037;2,499604493;12214393;78516211,46
9.9.2019;6,348;6,045;6,321;6,2379405;4,860650299;8089998;50528068,73
